;porosity;characteristical_pore_length;sample_id;MEAN_pore_row_length;median_pore_row_length;MEAN_material_row_length;median_material_row_length;sum_medians;sum_MEANS
0;0,1;5,0;0,0;9,495826377295492;8,0;78,009126009126;57,0;65,0;87,5049523864215
1;0,1;10,0;0,0;18,857831325301206;17,0;125,36615732880588;90,0;107,0;144,22398865410707
2;0,1;15,0;0,0;22,431413612565446;22,0;164,15418502202644;151,5;173,5;186,5855986345919
3;0,1;20,0;0,0;33,43401759530792;30,0;187,35075885328837;187,0;217,0;220,7847764485963
4;0,1;25,0;0,0;45,28951486697966;44,0;189,52631578947367;211,0;255,0;234,81583065645333
5;0,1;30,0;0,0;44,85507246376812;38,0;235,2991452991453;255,0;293,0;280,1542177629134
6;0,15;5,0;0,0;10,536600120992135;9,0;58,640066964285715;41,0;50,0;69,17666708527786
7;0,15;10,0;0,0;20,092017738359203;18,0;96,55596669750231;71,0;89,0;116,64798443586152
8;0,15;15,0;0,0;30,99279423538831;28,0;126,71375921375922;106,0;134,0;157,70655344914752
9;0,15;20,0;0,0;32,32488262910798;28,0;163,99844236760126;134,5;162,5;196,32332499670923
10;0,15;25,0;0,0;43,44528710725894;39,0;178,63993025283347;159,0;198,0;222,0852173600924
11;0,15;30,0;0,0;54,40533333333333;46,0;198,82765335929892;190,0;236,0;253,23298669263227
12;0,2;5,0;0,0;12,223608684801597;10,0;45,28066528066528;34,0;44,0;57,50427396546688
13;0,2;10,0;0,0;23,396899953029592;21,0;83,44933732364258;62,0;83,0;106,84623727667217
14;0,2;15,0;0,0;32,2537517053206;28,0;110,82735426008969;77,0;105,0;143,0811059654103
15;0,2;20,0;0,0;42,0;34,0;151,81484315225708;131,0;165,0;193,81484315225708
16;0,2;25,0;0,0;51,280590717299575;45,0;172,11744084136723;176,0;221,0;223,3980315586668
17;0,2;30,0;0,0;57,0848623853211;50,0;154,4477848101266;132,0;182,0;211,53264719544768
18;0,25;5,0;0,0;13,065324480616834;11,0;37,727701455813;30,0;41,0;50,79302593642983
